FILM,STARS,RATING,VOTES
Little Boy (2015),4.5,4.3,811
Far From The Madding Crowd (2015),4.5,4.0,804
Amy (2015),4.5,4.4,729
TCM presents Jaws 40th Anniversary (2015),5.0,4.8,716
Monkey Kingdom (2015),4.5,4.2,701
A Most Violent Year (2014),3.5,3.4,675
American Ultra (2015),4.0,3.7,638
Me and Earl and The Dying Girl (2015),4.5,4.3,624
True Story (2015),3.5,3.2,540
A La Mala (2015),5.0,4.6,536
Danny Collins (2015),4.0,4.0,531
Srimanthudu (2015),4.5,4.1,496
Cake (2015),3.5,3.4,482
Spare Parts (2015),4.5,4.5,450
While We're Young (2015),3.0,2.9,449
The Last: Naruto the Movie (2015),5.0,4.8,409
Tanu Weds Manu Returns (2015),4.5,4.5,400
The Water Diviner (2015),4.5,4.0,397
The Breakfast Club 30th Anniversary (2015),5.0,4.9,381
DIl Dhadakne Do (2015),4.0,4.0,316
Child 44 (2015),4.0,3.7,308
Mr. Turner (2014),3.5,3.2,290
I'll See You In My Dreams (2015),4.0,3.6,281
Star Wars: Episode VII - The Force Awakens (2015),5.0,4.7,261
What We Do in the Shadows (2015),4.5,4.3,259
Irrational Man (2015),4.0,3.5,252
Wild Tales (2014),4.5,4.1,235
Where Hope Grows (2015),4.5,4.3,225
TCM presents Grease Sing-A-Long (2015),5.0,4.6,219
Black Sea (2015),4.0,3.5,218
NT Live: The Audience (2015),5.0,4.7,215
The Vatican Tapes (2015),3.0,2.9,210
'71 (2015),3.5,3.5,192
Beyond the Mask (2015),4.5,4.4,189
Faith Of Our Fathers (2015),4.0,3.9,186
Chocolate City (2015),4.0,3.8,176
Clouds of Sils Maria (2015),3.5,3.4,162
TCM presents Double Indemnity (2015),5.0,4.8,131
DCI 2015 Tour Premiere (2015),5.0,4.7,128
Testament of Youth (2015),4.0,3.9,127
Infinitely Polar Bear (2015),4.0,3.9,124
David and Goliath (2015),3.5,3.2,123
The End of the Tour (2015),4.5,4.1,121
"Two Days, One Night (2014)",3.5,3.5,118
Drishyam (2015),4.5,4.4,117
Bolshoi Ballet: Swan Lake (2015),4.5,4.1,112
Insider Access to Disney Pixarâ€™s Inside Out (2015),5.0,4.7,110
The Overnight (2015),3.5,3.3,110
Detective Byomkesh Bakshy (2015),4.0,3.9,109
The Last Five Years (2015),4.5,4.4,99
Maggie (2015),3.5,3.3,95
RangiTaranga (2015),5.0,4.8,85
Ode to My Father (2014),5.0,4.6,83
The Salt of the Earth (2015),4.5,4.3,83
A Little Chaos (2015),4.0,3.9,83
Angrej (2015),5.0,4.8,80
5 Flights Up (2015),4.0,3.6,79
Dior and I (2015),4.0,4.0,75
Timbuktu (2015),4.0,3.6,74
Brothers: Blood Against Blood (2015),4.0,4.0,74
Phoenix (2015),3.5,3.4,70
Above and Beyond (2015),4.5,4.4,70
Bolshoi Ballet: The Nutcracker (2014),4.5,4.4,70
Bolshoi Ballet: Romeo And Juliet (2015),4.5,4.2,68
A Girl Like Her (2015),4.5,4.2,66
Song of the Sea (2014),4.5,4.3,66
The Wolfpack (2015),3.5,3.4,66
Effie Gray (2015),3.0,2.8,65
Leviathan (2014),4.0,3.5,64
Cartel Land (2015),4.5,4.2,64
Sardaar Ji (2015),4.5,4.4,64
Classic Music Series: Led Zeppelin (2015),4.5,4.5,64
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),4.0,3.9,63
Exhibition OnScreen: The Impressionists (2015),4.0,4.0,62
The Hunger Games: Mockingjay - Part 2 (2015),5.0,4.7,61
Kick 2 (2015),3.0,2.7,60
Royal Ballet: Swan Lake (2015),5.0,4.5,59
Iris (2015),4.0,3.8,59
Gett: The Trial of Viviane Amsalem (2015),3.5,3.5,59
ABCD 2 (2015),4.0,3.8,58
War Room (2015),4.0,3.8,58
Assassination (2015),5.0,4.6,57
Welcome to Me (2015),4.0,3.6,56
The Metropolitan Opera: Iolanta/Duke Bluebeard's Castle (2015),4.0,3.7,56
Dark Places (2015),4.0,3.7,55
Red Army (2015),4.5,4.1,54
Deli Man (2015),4.0,3.8,54
The Stanford Prison Experiment (2015),4.0,3.9,51
Exhibition OnScreen: Vincent Van Gogh (2015),4.5,4.1,50
Unity (2015),4.5,4.2,50
Spectre (2015),4.5,4.3,50
Bin Roye (2015),4.5,4.4,50
Serena (2015),3.0,3.0,50
Escobar: Paradise Lost (2015),4.0,3.9,48
When Marnie Was There (2015),4.5,4.1,46
Felix and Meira (2015),3.5,3.2,46
Exhibition OnScreen: Matisse (2015),4.5,4.0,45
Twinsters (2015),5.0,4.5,44
Meru (2015),4.5,4.5,44
Saint Laurent (2015),3.5,3.1,43
About Elly (2015),4.0,3.6,43
Masss (2015),4.0,3.7,43
The Hunting Ground (2015),4.5,4.1,42
Merchants of Doubt (2014),4.0,3.7,42
Hamari Adhuri Kahani (2015),4.5,4.1,41
Seymour: An Introduction (2015),4.5,4.2,41
"Kumiko, The Treasure Hunter (2015)",3.5,3.5,41
Premam (2015),5.0,4.5,40
NH 10 (2015),3.5,3.2,39
The Diary of a Teenage Girl (2015),4.0,3.6,38
The Wrecking Crew (2015),4.5,4.2,38
King Lear (Stratford Festival) (2015),4.5,4.2,36
Tangerine (2015),4.0,3.9,36
Maps to the Stars (2015),3.5,3.1,35
Do I Sound Gay? (2015),3.0,2.7,32
Triumph in the Skies (2015),4.0,3.8,32
In the Name of my Daughter (2015),4.0,3.5,31
The Metropolitan Opera: La Donna del Lago Encore (2015),4.5,4.0,30
The Oscar Nominated Short Films 2015: Live Action (2015),3.5,3.4,30
Just the Way You Are (2014) (2015),5.0,4.8,29
Man From Reno (2015),4.0,4.0,29
Slow West (2015),4.0,4.0,29
Exhibition OnScreen: Girl with the Pearl Earring (2015),4.5,4.2,28
Daryl Hall & John Oates: Recorded Live From Dublin (2015),4.5,4.3,28
PlantPure Nation (2015),5.0,4.9,28
Desert Dancer (2015),4.0,4.0,28
Boulevard (2015),4.5,4.1,27
Classic Music Series: Aerosmith (2015),5.0,4.6,27
Samba (2015),4.0,3.8,26
Antony and Cleopatra (Stratford Festival) (2015),3.5,3.0,25
The Voices (2015),4.0,3.6,25
Big Game (2015),4.0,3.5,24
5 to 7 (2015),3.5,3.4,24
Let's Get Married (2015),4.5,4.4,24
The Algerian (2015),5.0,4.5,23
Good Kill (2015),4.0,3.6,23
The Metropolitan Opera: Cavalleria Rusticana/Paliacci (2015),4.5,4.3,23
Mommy (2015),4.0,3.9,23
The Oscar Nominated Short Films 2015: Animated (2015),4.5,4.1,22
Jil (2015),3.5,3.2,22
Batkid Begins (2015),4.5,4.2,22
3 Hearts  (2015),3.0,2.8,22
Cop Car (2015),3.5,3.4,22
Survivor (2015),3.5,3.2,21
Gemma Bovery (2015),3.0,2.8,21
She's Funny That Way (2015),4.0,3.8,21
Zombeavers (2015),4.0,3.8,21
Maari (2015),4.5,4.4,21
Ballet 422 (2015),3.0,3.0,21
No Escape (2015),4.0,4.0,21
Mistress America (2015),4.0,3.6,20
Best of Enemies (2015),3.5,3.3,20
Jimmy's Hall (2015),3.5,3.4,20
Human Capital (2015),4.0,3.5,19
White God (2015),4.0,3.6,19
Boychoir (2015),5.0,4.7,19
Listen to Me Marlon (2015),3.5,3.3,19
An Honest Liar (2015),4.0,3.8,19
A LEGO Brickumentary (2015),4.5,4.4,19
The Connection (2015),4.0,3.7,18
Walt Before Mickey  (2015),5.0,4.7,18
Results (2015),3.0,3.0,18
Heaven Knows What (2015),4.0,3.5,17
Lambert & Stamp (2015),4.0,3.7,17
Go Away Mr. Tumor (2015),4.5,4.2,17
What We Did on Our Holiday (2015),4.5,4.3,17
Tangerines (2015),4.0,3.9,17
Last Knights (2015),5.0,4.7,16
Manglehorn (2015),2.5,2.3,16
Learning to Drive (2015),4.5,4.1,15
That Thing Called Tadhana (2015),4.0,3.6,15
Sunshine Superman (2015),4.5,4.2,15
The Farewell Party (2015),3.5,3.3,15
Paulette (2015),4.5,4.1,14
Once I Was a Beehive (2015),5.0,4.6,14
Vasuvum Saravananum Onna Padichavanga (2015),3.5,3.1,14
Monsters: Dark Continent (2015),3.5,3.2,14
Snow Girl and the Dark Crystal 3D (2015),4.0,3.8,14
Grandma (2015),4.0,3.9,14
Can't Stand Losing You: Surviving The Police (2015),4.5,4.4,14
The Green Inferno (2015),4.5,4.4,14
The Young and Prodigious T.S. Spivet (2015),4.5,4.1,13
Kill Me Three Times (2015),3.5,3.2,13
Runoff (2015),4.5,4.2,13
Matt Shepard Is a Friend of Mine (2015),5.0,4.9,13
Aloft (2015),3.0,3.0,13
Kahlil Gibran's The Prophet (2015),4.0,4.0,13
Lost and Love (Shi Gu) (2015),5.0,4.6,12
The Tribe (2015),4.0,4.0,12
All Is Well (2015),3.0,2.6,11
Eden (2015),3.5,3.1,11
Spring (2015),4.0,3.6,11
A Pigeon Sat on a Branch Reflecting on Existence (2015),3.5,3.2,11
Deadpool (2016),5.0,4.7,11
Queen and Country (2015),4.0,3.8,11
The Duke of Burgundy (2015),3.5,3.4,11
Girlhood (2015),4.0,3.5,10
Madame Bovary (2015),4.0,3.6,10
Cymbeline (2015),4.0,3.7,10
" Like Sunday, Like Rain (2015)",4.0,3.7,10
THE DEATH OF SUPERMAN LIVES: WHAT HAPPENED? (2015),5.0,4.7,10
The Riot Club (2015),3.5,3.3,10
The Salvation (2015),4.0,3.9,10
National Theatre Live: Man and Superman (2015),5.0,5.0,10
How to Fight in Six Inch Heels (2015),4.5,4.1,9
Superfast! (2015),5.0,4.6,9
Tinker Bell and the Legend of the NeverBeast (2015),5.0,4.6,9
Gabriel (2015),4.0,3.6,9
The Search for General Tso (2015),3.5,3.3,9
Julie Taymor's Midsummer Night's Dream (2015),4.5,4.4,9
Love Live! The School Idol Movie (2015),5.0,4.9,9
Maze Runner: The Scorch Trials (2015),5.0,5.0,9
Dark Awakening (2015),4.0,3.5,8
12 Golden Ducks (2015),5.0,4.5,8
Kurt Cobain: Montage of Heck (2015),5.0,4.6,8
Only You (2015),5.0,4.6,8
The Outrageous Sophie Tucker (2015),4.0,3.6,8
Eastern Boys (2015),3.5,3.3,8
Amira & Sam (2015),5.0,4.8,8
Barely Lethal (2015),5.0,4.8,8
Into The Grizzly Maze (2015),3.5,3.4,8
The Look of Silence (2015),3.5,3.4,8
I Am Big Bird: The Caroll Spinney Story (2015),4.0,3.9,8
Humpback Whales (2015),4.5,4.4,8
Cheatin' (2015),5.0,5.0,8
